timestamp,generation_solar,generation_wind_onshore,generation_wind_offshore,generation_hydro_run_of_river_and_poundage,generation_nuclear,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_biomass,generation_waste,generation_other
2024-12-10 23:00:00,0.0,5201.0,,1127.75,4106.25,48.5,122.0,0.0,1034.25,24.0,283.25
2024-12-11 00:00:00,0.0,5124.75,,1046.5,4105.25,48.0,122.0,0.0,1035.5,25.0,299.75
2024-12-11 01:00:00,0.0,5133.25,,1055.0,4106.0,48.0,122.0,0.0,1038.0,24.75,304.25
2024-12-11 02:00:00,0.0,5089.0,,1064.0,4105.5,49.0,122.5,0.0,1062.0,23.0,310.5
2024-12-11 03:00:00,0.0,5291.5,,1136.0,4105.5,49.0,122.75,0.0,1052.75,23.25,298.5
2024-12-11 04:00:00,0.0,6071.75,,1241.0,4107.25,49.5,122.5,0.0,1061.75,24.0,308.25
2024-12-11 05:00:00,0.0,6330.25,,1250.5,4094.75,52.0,123.25,0.0,1045.75,24.0,315.25
2024-12-11 06:00:00,0.0,6252.25,,1256.5,4086.5,53.0,123.25,0.0,1030.0,24.0,341.0
2024-12-11 07:00:00,12.75,6091.0,,1241.75,3880.5,50.25,123.0,3.0,1030.0,25.5,340.0
2024-12-11 08:00:00,42.25,5970.75,,1275.75,3856.5,87.75,125.0,54.0,1023.0,26.25,345.25
2024-12-11 09:00:00,63.0,5934.25,,1314.25,4065.25,70.5,122.5,0.0,1015.5,27.0,342.25
2024-12-11 10:00:00,57.0,5925.0,,1330.5,4088.0,52.75,123.25,0.0,1007.5,26.25,334.5
2024-12-11 11:00:00,28.25,5925.25,,1324.5,4086.75,50.75,122.5,0.0,987.75,25.75,316.75
2024-12-11 12:00:00,4.5,5880.5,,1446.75,4086.75,47.5,123.25,0.0,970.75,25.0,297.25
2024-12-11 13:00:00,0.0,6027.0,,1556.0,4087.25,47.5,123.75,0.0,969.0,26.0,311.75
2024-12-11 14:00:00,0.0,6018.5,,1581.0,4091.0,50.25,125.75,0.0,985.75,24.75,298.0
2024-12-11 15:00:00,0.0,6051.0,,1575.0,4091.25,47.5,123.5,0.0,984.25,24.0,308.75
2024-12-11 16:00:00,0.0,5993.5,,1539.75,4090.0,47.0,126.0,0.0,995.25,24.0,295.5
2024-12-11 17:00:00,0.0,5945.5,,1502.0,4089.75,48.0,126.25,0.0,987.0,23.25,291.5
2024-12-11 18:00:00,0.0,5929.0,,1563.25,4089.75,48.5,123.0,0.0,1004.25,24.0,297.5
2024-12-11 19:00:00,0.0,5848.0,,1568.5,4089.75,48.75,123.0,0.0,1017.0,24.0,302.25
2024-12-11 20:00:00,0.0,5744.5,,1516.25,4090.0,48.0,123.5,0.0,1002.5,24.0,318.25
2024-12-11 21:00:00,0.0,5720.75,,1439.75,4088.5,47.5,120.75,0.0,1007.5,24.0,302.75
2024-12-11 22:00:00,0.0,5497.0,,1294.0,4089.25,47.5,121.0,0.0,977.0,24.0,311.0
2024-12-11 23:00:00,0.0,5225.5,,1256.25,4090.75,47.75,121.25,0.0,947.0,23.0,328.75
2024-12-12 00:00:00,0.0,5603.5,,1143.75,4089.5,47.25,121.75,0.0,924.0,23.0,324.75
2024-12-12 01:00:00,0.0,5797.0,,1087.75,4089.75,50.0,121.0,0.0,928.5,23.0,308.25
2024-12-12 02:00:00,0.0,5918.25,,1038.0,4089.25,52.25,123.5,0.0,914.5,22.25,302.5
2024-12-12 03:00:00,0.0,5770.5,,1092.5,4089.25,53.25,122.0,0.0,929.75,21.0,309.5
2024-12-12 04:00:00,0.0,5773.5,,1228.5,4090.25,53.75,122.25,0.0,950.25,20.75,325.75
2024-12-12 05:00:00,0.0,6197.25,,1348.5,4091.0,55.25,122.75,0.0,936.75,21.0,354.0
2024-12-12 06:00:00,0.0,5925.5,,1457.0,4089.75,55.5,130.25,0.0,949.75,21.0,368.25
2024-12-12 07:00:00,9.0,5457.25,,1478.5,4090.25,54.75,163.0,0.0,953.0,27.0,383.5
2024-12-12 08:00:00,29.5,5507.75,,1477.25,4090.75,57.25,175.25,0.0,970.5,39.0,369.75
2024-12-12 09:00:00,59.0,5557.25,,1385.5,4089.0,70.0,166.0,0.0,868.0,33.0,342.5
2024-12-12 10:00:00,62.75,5616.25,,1406.0,4088.0,81.0,166.0,0.0,891.75,30.5,331.25
2024-12-12 11:00:00,41.25,5369.0,,1502.5,4088.0,83.5,175.0,0.0,896.75,23.25,326.5
2024-12-12 12:00:00,8.5,5195.75,,1506.25,4088.0,106.25,183.25,0.0,896.25,23.0,338.0
2024-12-12 13:00:00,0.0,5347.0,,1604.0,4087.5,117.5,182.25,0.0,887.5,30.25,354.0
2024-12-12 14:00:00,0.0,5337.75,,1647.0,4087.5,144.75,179.5,0.0,948.75,37.5,362.75
2024-12-12 15:00:00,0.0,5207.25,,1718.0,4088.25,151.75,179.25,0.0,1028.0,48.0,365.5
2024-12-12 16:00:00,0.0,5030.5,,1698.75,4088.25,152.25,185.0,0.0,1119.75,49.75,381.5
2024-12-12 17:00:00,0.0,4761.0,,1711.0,4088.25,152.75,197.25,0.0,1160.75,47.5,373.5
2024-12-12 18:00:00,0.0,4667.75,,1702.5,4088.75,133.0,206.5,0.0,1143.0,34.25,353.25
2024-12-12 19:00:00,0.0,4364.0,,1644.75,4088.5,120.75,205.5,0.0,1095.25,23.0,348.25
2024-12-12 20:00:00,0.0,4218.75,,1675.25,4088.75,120.0,203.25,0.0,1075.5,22.0,341.75
2024-12-12 21:00:00,0.0,3823.0,,1647.75,4088.25,119.5,204.25,0.0,1041.75,22.0,344.25
2024-12-12 22:00:00,0.0,3464.75,,1437.5,4088.25,118.75,209.25,0.0,1044.75,22.0,364.75
2024-12-12 23:00:00,0.0,3220.75,,1359.0,4165.25,118.25,213.5,0.0,1051.25,20.5,374.25
2024-12-13 00:00:00,0.0,2985.0,,1330.75,4193.25,131.5,209.25,0.0,1092.25,20.0,368.0
2024-12-13 01:00:00,0.0,2816.5,,1317.0,4188.25,184.0,172.0,0.0,1182.5,20.0,365.5
2024-12-13 02:00:00,0.0,2556.5,,1379.0,4190.75,191.75,187.0,0.0,1258.75,22.5,366.0
2024-12-13 03:00:00,0.0,2345.75,,1402.5,4191.25,235.25,212.5,0.0,1278.75,31.25,360.5
2024-12-13 04:00:00,0.0,2119.0,,1540.75,4181.75,303.0,220.0,0.0,1301.25,35.75,352.0
2024-12-13 05:00:00,0.0,2020.5,,1786.25,4180.75,366.0,224.25,0.0,1387.75,47.25,363.0
2024-12-13 06:00:00,0.0,1938.75,,1934.5,4179.75,435.75,225.5,0.0,1460.75,48.0,368.25
2024-12-13 07:00:00,2.5,1829.5,,1968.75,4178.0,475.0,224.0,0.0,1502.0,42.25,371.5
2024-12-13 08:00:00,15.25,1903.5,,1991.75,4175.25,605.5,228.5,0.0,1533.0,38.5,360.5
2024-12-13 09:00:00,27.0,1970.5,,2030.5,4173.75,627.25,245.75,0.0,1524.5,27.75,361.25
2024-12-13 10:00:00,23.0,1790.0,,1971.75,4159.5,608.75,246.75,0.0,1493.5,25.5,348.25
2024-12-13 11:00:00,6.75,1582.75,,1871.25,4174.25,607.5,245.75,0.0,1474.0,25.75,327.5
2024-12-13 12:00:00,0.0,1474.25,,1880.0,4179.0,607.25,245.75,0.0,1487.75,26.0,343.5
2024-12-13 13:00:00,0.0,1447.25,,1927.75,4185.0,598.5,245.0,0.0,1511.75,32.0,315.25
2024-12-13 14:00:00,0.0,1376.25,,1927.5,4188.0,671.5,252.5,0.0,1457.75,42.75,314.5
2024-12-13 15:00:00,0.0,1530.0,,1856.75,4186.75,660.75,250.75,0.0,1386.0,45.0,316.0
2024-12-13 16:00:00,0.0,1602.25,,1784.25,4186.5,554.0,249.75,0.0,1364.25,44.75,301.0
2024-12-13 17:00:00,0.0,1597.25,,1782.25,4186.25,352.0,245.75,0.0,1348.25,35.5,299.25
2024-12-13 18:00:00,0.0,1443.5,,1729.5,4186.0,317.75,226.0,0.0,1332.0,26.75,302.75
2024-12-13 19:00:00,0.0,1432.25,,1660.5,4195.75,271.0,201.75,0.0,1302.5,26.0,305.5
2024-12-13 20:00:00,0.0,1471.25,,1702.5,4196.75,235.75,190.0,0.0,1149.0,34.0,302.25
2024-12-13 21:00:00,0.0,1350.5,,1802.5,4196.25,212.25,158.25,0.0,1098.25,35.5,313.0
2024-12-13 22:00:00,0.0,1284.5,,1759.75,4196.25,135.5,141.0,0.0,1101.5,35.0,303.0
2024-12-13 23:00:00,0.0,1357.0,,1694.25,4196.5,54.5,148.25,0.0,1050.75,49.5,308.75
2024-12-14 00:00:00,0.0,1416.0,,1621.25,4195.75,54.25,161.75,0.0,1001.5,50.0,352.25
